SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,6332151,2,Medium Stone Grey,Miscellaneous,65765,"FLEX JOINT 6M, Ã˜24, FEMALE",/cdn/product-assets/element.img.lod5photo.192x192/6332151.jpg,42,design_alias,XZ,24.2,47.802,8.0,shadow_stack,18.0,28.2,51.8,1460.84
17101-1,6321769,2,Multicombination,Bricks,44865,BRICK 1X2 W. HORIZONTAL SNAP,/cdn/product-assets/element.img.lod5photo.192x192/6321769.jpg,34,exact,XY,16.2,11.4,16.0,shadow_stack,34.0,20.2,16.0,323.2
17101-1,6356158,2,Multicombination,Bricks,65155,BEARING ELEMENT 2X4 W.D. SNAP,/cdn/product-assets/element.img.lod5photo.192x192/6356158.jpg,19,design_alias,XZ,48.2,16.2,11.2,shadow_stack,24.4,52.2,20.2,1054.44
17101-1,6403936,2,Multicombination,Bricks,42929,BRICK 2X2 W. SNAP AND CROSS,/cdn/product-assets/element.img.lod5photo.192x192/6403936.jpg,20,design_alias,XZ,24.2,16.2,11.2,shadow_stack,24.4,28.2,20.2,569.64
17101-1,4299625,1,Multicombination,Miscellaneous,57028,ARROW 8M W/SOFT UPPER P.,/cdn/product-assets/element.img.lod5photo.192x192/4299625.jpg,61,relationship_alias,YZ,31.4,43.4,16.0,shadow_stack,18.0,35.4,47.4,1677.96
17101-1,6135494,3,Reddish Brown,Connectors,24316,"CROSS AXLE, 3 MODULE, W/ END STOP",/cdn/product-assets/element.img.lod5photo.192x192/6135494.jpg,493,exact,XZ,24.2,6.6,6.4,shadow_stack,21.2,28.2,16.0,451.2
17101-1,6159763,3,Reddish Brown,Connectors,15462,CROSS AXLE 5M WITH END STOP,/cdn/product-assets/element.img.lod5photo.192x192/6159763.jpg,423,exact,XZ,40.2,6.6,6.4,shadow_stack,21.2,44.2,16.0,707.2
17101-1,6344864,2,Sand Yellow,Technic Beams,40147,BEAM 1X2 W/CROSS AND HOLE,/cdn/product-assets/element.img.lod5photo.192x192/6344864.jpg,29,design_alias,YZ,8.2,15.4,7.2,shadow_stack,16.4,16.0,19.4,310.4
17101-1,6004345,2,Silver Metallic,Minifigure Accessories,10187,CLAWS,/cdn/product-assets/element.img.lod5photo.192x192/6004345.jpg,49,exact,XZ,7.801,13.953,7.095,shadow_stack,16.19,16.0,17.95,287.25
17101-1,6244906,1,Transparent Blue,Bricks,35743,BRICK 1X2 W/O PIN,/cdn/product-assets/element.img.lod5photo.192x192/6244906.jpg,23,design_alias,XY,16.2,11.4,8.0,shadow_stack,10.0,20.2,16.0,323.2
17101-1,6249128,1,Transparent Bright Orange,Buildings & Furniture,34820,"CONTAINER, BOTTOM, 4X4X1 2/3, NO. 1",/cdn/product-assets/element.img.lod5photo.192x192/6249128.jpg,2,design_alias,XZ,32.203,32.203,17.6,shadow_stack,19.6,36.2,36.2,1310.65
17101-1,6171733,3,Transparent Light Blue,Plates,28558,SLIDE SHOE ROUND 2X2,/cdn/product-assets/element.img.lod5photo.192x192/6171733.jpg,44,design_alias,XZ,16.205,16.205,4.8,shadow_stack,16.4,20.2,20.2,408.23
17101-1,6244905,1,Transparent Red,Bricks,35743,BRICK 1X2 W/O PIN,/cdn/cs/set/assets/blt3500bf9c29f9044a/6244905.jpg,34,design_alias,XY,16.2,11.4,8.0,shadow_stack,10.0,20.2,16.0,323.2
17101-1,300501,8,White,Bricks,3005,BRICK 1X1,/cdn/product-assets/element.img.lod5photo.192x192/300501.jpg,1125,exact,XY,8.2,11.4,8.0,edge_magazine,42.0,16.0,16.0,256.0
17101-1,300901,4,White,Bricks,3009,BRICK 1X6,/cdn/product-assets/element.img.lod5photo.192x192/300901.jpg,752,exact,XY,48.2,11.4,8.0,shadow_stack,34.0,52.2,16.0,835.2
17101-1,301001,2,White,Bricks,3010,BRICK 1X4,/cdn/product-assets/element.img.lod5photo.192x192/301001.jpg,1065,exact,XY,32.2,11.4,8.0,shadow_stack,18.0,36.2,16.0,579.2
17101-1,302101,3,White,Plates,3021,PLATE 2X3,/cdn/cs/set/assets/bltf23a23d77b40bbcf/302101.jpg,1052,exact,XZ,24.2,16.2,4.8,shadow_stack,16.4,28.2,20.2,569.64
17101-1,346001,4,White,Plates,3460,PLATE 1X8,/cdn/cs/set/assets/blt9783b493f6ff98a1/346001.jpg,621,exact,XZ,64.2,8.2,4.8,edge_magazine,21.2,68.2,16.0,1091.2
17101-1,370001,2,White,Bricks,3700,"TECHNIC BRICK 1X2, Ã˜4.9",/cdn/product-assets/element.img.lod5photo.192x192/370001.jpg,366,exact,XY,16.2,11.4,8.0,shadow_stack,18.0,20.2,16.0,323.2
17101-1,371001,5,White,Plates,3710,PLATE 1X4,/cdn/product-assets/element.img.lod5photo.192x192/371001.jpg,1479,exact,XZ,32.2,8.2,4.8,shadow_stack,26.0,36.2,16.0,579.2
17101-1,396001,2,White,Plates,3960,ROUND PLATE Ã˜32X6.4,/cdn/product-assets/element.img.lod5photo.192x192/396001.jpg,109,exact,XZ,32.2,32.2,8.0,shadow_stack,18.0,36.2,36.2,1310.47
17101-1,403201,8,White,Plates,4032,PLATE 2X2 ROUND,/cdn/product-assets/element.img.lod5photo.192x192/403201.jpg,628,exact,XZ,16.204,16.204,4.8,shadow_stack,40.4,20.2,20.2,408.22
